Date,Disease,Age Group,Admissions
2022-01-05,Infections,nan,3
2022-01-05,Cardiac Issues,19-35,12
2022-01-05,Cardiac Issues,0-18,14
2022-01-05,Infections,36-50,10
2022-01-05,Flu,19-35,12
2022-01-05,Flu,66+,14
2022-01-05,Infections,51-65,2
2022-01-05,Cardiac Issues,0-18,7
2022-01-06,Pneumonia,36-50,29
2022-01-06,Cardiac Issues,19-35,3
2022-01-06,Flu,51-65,26
2022-01-06,Diabetes,nan,12
2022-01-06,Cardiac Issues,0-18,4
2022-01-06,Diabetes,36-50,6
2022-01-06,Pneumonia,19-35,15
2022-01-06,Infections,66+,12
2022-01-06,Pneumonia,51-65,10
2022-01-06,Pneumonia,19-35,19
2022-01-06,Infections,36-50,8
2022-01-06,Cardiac Issues,66+,8
2022-01-06,Infections,66+,14
2022-01-06,Cardiac Issues,51-65,5
2022-01-06,Diabetes,51-65,1
2022-01-06,Cardiac Issues,51-65,7
2022-01-06,Cardiac Issues,36-50,9
2022-01-06,Cardiac Issues,51-65,14
2022-01-06,Pneumonia,51-65,20
2022-01-07,Pneumonia,36-50,14
2022-01-07,Diabetes,51-65,9
2022-01-07,Infections,66+,2
2022-01-07,Infections,0-18,8
2022-01-07,Pneumonia,66+,11
2022-01-07,Infections,66+,7
2022-01-07,Infections,51-65,5
2022-01-07,Diabetes,36-50,14
2022-01-07,Flu,19-35,11
2022-01-07,Cardiac Issues,66+,1
2022-01-07,Cardiac Issues,36-50,10
2022-01-07,Diabetes,51-65,13
2022-01-07,Infections,36-50,5
2022-01-07,Diabetes,0-18,10
2022-01-07,Diabetes,nan,5
2022-01-07,Pneumonia,nan,27
2022-01-08,Infections,36-50,2
2022-01-08,Cardiac Issues,66+,4
2022-01-08,Flu,nan,21
2022-01-08,Pneumonia,51-65,28
2022-01-08,Infections,51-65,4
2022-01-08,Infections,36-50,9
2022-01-08,Diabetes,nan,10
2022-01-08,Cardiac Issues,36-50,4
2022-01-08,Infections,51-65,4
2022-01-08,Infections,19-35,5
2022-01-08,Diabetes,0-18,13
2022-01-08,Pneumonia,66+,14
2022-01-08,Cardiac Issues,36-50,4
2022-01-08,Diabetes,66+,1
2022-01-08,Diabetes,66+,5
2022-01-09,Infections,nan,14
2022-01-09,Infections,66+,11
2022-01-09,Pneumonia,nan,27
2022-01-09,Infections,51-65,1
2022-01-09,Infections,0-18,3
2022-01-09,Pneumonia,36-50,21
2022-01-09,Infections,nan,12
2022-01-09,Diabetes,nan,11
2022-01-09,Flu,19-35,15
2022-01-09,Diabetes,36-50,7
2022-01-09,Pneumonia,36-50,25
2022-01-09,Flu,36-50,19
2022-01-09,Pneumonia,51-65,26
2022-01-09,Infections,51-65,14
2022-01-09,Cardiac Issues,36-50,10
2022-01-09,Pneumonia,nan,14
2022-01-09,Diabetes,66+,6
2022-01-09,Pneumonia,nan,13
2022-01-10,Flu,66+,20
2022-01-10,Cardiac Issues,0-18,2
2022-01-10,Flu,19-35,25
2022-01-10,Infections,66+,4
2022-01-10,Diabetes,51-65,8
2022-01-10,Diabetes,36-50,12
2022-01-10,Diabetes,51-65,2
2022-01-10,Diabetes,0-18,12
2022-01-10,Diabetes,36-50,6
2022-01-10,Diabetes,nan,2
2022-01-10,Infections,nan,6
2022-01-10,Diabetes,51-65,12
2022-01-10,Cardiac Issues,66+,11
2022-01-10,Cardiac Issues,36-50,2
2022-01-10,Infections,19-35,10
2022-01-10,Infections,19-35,13
2022-01-11,Diabetes,36-50,14
2022-01-11,Pneumonia,66+,26
2022-01-11,Pneumonia,19-35,14
2022-01-11,Flu,0-18,13
2022-01-11,Pneumonia,36-50,23
2022-01-11,Pneumonia,36-50,17
2022-01-11,Cardiac Issues,66+,2
2022-01-11,Infections,51-65,11
2022-01-11,Flu,36-50,21
2022-01-11,Cardiac Issues,66+,10
2022-01-12,Infections,nan,2
2022-01-12,Flu,51-65,10
2022-01-12,Diabetes,19-35,7
2022-01-12,Flu,51-65,19
2022-01-12,Infections,36-50,4
2022-01-12,Infections,nan,14
2022-01-12,Pneumonia,0-18,20
2022-01-12,Pneumonia,51-65,25
2022-01-12,Cardiac Issues,66+,11
2022-01-12,Infections,19-35,8
2022-01-12,Flu,nan,20
2022-01-12,Flu,0-18,20
2022-01-12,Cardiac Issues,0-18,4
2022-01-13,Cardiac Issues,0-18,1
2022-01-13,Pneumonia,0-18,23
2022-01-13,Diabetes,19-35,7
2022-01-13,Diabetes,nan,13
2022-01-13,Cardiac Issues,66+,11
2022-01-13,Diabetes,51-65,13
2022-01-13,Cardiac Issues,36-50,10
2022-01-13,Flu,nan,23
2022-01-14,Diabetes,66+,8
2022-01-14,Cardiac Issues,19-35,5
2022-01-14,Infections,nan,1
2022-01-14,Cardiac Issues,66+,7
2022-01-14,Cardiac Issues,nan,10
2022-01-14,Infections,nan,5
2022-01-15,Pneumonia,36-50,12
2022-01-15,Infections,nan,2
2022-01-15,Diabetes,36-50,4
2022-01-15,Infections,51-65,14
2022-01-15,Diabetes,nan,11
2022-01-15,Infections,51-65,7
2022-01-15,Cardiac Issues,51-65,3
2022-01-15,Infections,nan,10
2022-01-15,Cardiac Issues,36-50,12
2022-01-15,Infections,0-18,8
2022-01-15,Flu,19-35,22
2022-01-16,Flu,19-35,19
2022-01-16,Flu,51-65,13
2022-01-16,Infections,19-35,3
2022-01-16,Flu,51-65,21
2022-01-16,Pneumonia,51-65,25
2022-01-16,Pneumonia,0-18,11
2022-01-16,Diabetes,nan,13
2022-01-16,Diabetes,51-65,12
2022-01-16,Infections,nan,11
2022-01-16,Diabetes,36-50,1
2022-01-16,Pneumonia,36-50,16
2022-01-16,Flu,nan,29
2022-01-16,Diabetes,51-65,5
2022-01-16,Infections,66+,7
2022-01-16,Infections,0-18,8
2022-01-17,Flu,51-65,19
2022-01-17,Infections,nan,10
2022-01-17,Flu,66+,10
2022-01-17,Flu,36-50,18
2022-01-17,Diabetes,0-18,13
2022-01-17,Diabetes,0-18,4
2022-01-17,Flu,nan,13
2022-01-17,Pneumonia,36-50,14
2022-01-17,Cardiac Issues,36-50,9
2022-01-17,Diabetes,nan,3
2022-01-17,Infections,nan,8
2022-01-18,Infections,66+,1
2022-01-18,Pneumonia,51-65,20
2022-01-18,Diabetes,nan,11
2022-01-18,Flu,51-65,10
2022-01-18,Flu,51-65,21
2022-01-18,Cardiac Issues,nan,6
2022-01-18,Infections,0-18,14
2022-01-18,Pneumonia,36-50,16
2022-01-18,Cardiac Issues,66+,13
2022-01-18,Flu,36-50,19
2022-01-19,Flu,nan,14
2022-01-19,Flu,19-35,16
2022-01-19,Flu,nan,13
2022-01-19,Diabetes,19-35,13
2022-01-19,Cardiac Issues,0-18,14
2022-01-19,Infections,nan,5
2022-01-19,Flu,36-50,23
2022-01-19,Pneumonia,36-50,14
2022-01-19,Pneumonia,nan,19
2022-01-19,Cardiac Issues,19-35,8
2022-01-19,Pneumonia,nan,29
2022-01-19,Cardiac Issues,66+,2
2022-01-19,Flu,66+,18
2022-01-20,Infections,0-18,8
2022-01-20,Flu,0-18,17
2022-01-20,Diabetes,nan,14
2022-01-20,Flu,nan,14
2022-01-20,Flu,19-35,10
2022-01-20,Flu,nan,12
2022-01-20,Infections,nan,7
2022-01-20,Infections,19-35,8
2022-01-20,Diabetes,36-50,2
2022-01-20,Pneumonia,66+,13
2022-01-20,Infections,0-18,5
2022-01-20,Flu,19-35,24
2022-01-20,Flu,51-65,14
2022-01-20,Infections,19-35,7
2022-01-20,Infections,0-18,2
2022-01-20,Diabetes,19-35,8
2022-01-20,Diabetes,36-50,1
2022-01-21,Diabetes,66+,14
2022-01-21,Infections,36-50,12
2022-01-21,Cardiac Issues,51-65,11
2022-01-21,Diabetes,0-18,3
2022-01-21,Cardiac Issues,51-65,2
2022-01-21,Pneumonia,0-18,14
2022-01-21,Infections,0-18,13
2022-01-21,Diabetes,19-35,1
2022-01-21,Diabetes,nan,9
2022-01-21,Pneumonia,66+,27
2022-01-21,Flu,36-50,13
2022-01-21,Flu,0-18,16
2022-01-21,Pneumonia,0-18,21
2022-01-22,Diabetes,0-18,2
2022-01-22,Diabetes,36-50,14
2022-01-22,Infections,19-35,10
2022-01-22,Infections,66+,4
2022-01-22,Flu,0-18,12
2022-01-22,Flu,36-50,19
2022-01-22,Pneumonia,nan,13
2022-01-22,Infections,66+,14
2022-01-22,Cardiac Issues,nan,13
2022-01-22,Cardiac Issues,66+,4
2022-01-22,Pneumonia,19-35,20
2022-01-22,Infections,0-18,4
2022-01-22,Infections,0-18,12
2022-01-22,Diabetes,19-35,3
2022-01-22,Infections,51-65,5
2022-01-22,Diabetes,nan,10
2022-01-22,Cardiac Issues,0-18,1
2022-01-22,Pneumonia,51-65,19
2022-01-23,Flu,66+,10
2022-01-23,Cardiac Issues,51-65,10
2022-01-23,Flu,0-18,16
2022-01-23,Infections,19-35,13
2022-01-23,Infections,51-65,9
2022-01-23,Pneumonia,51-65,23
2022-01-23,Diabetes,51-65,8
2022-01-24,Cardiac Issues,51-65,11
2022-01-24,Pneumonia,0-18,15
2022-01-24,Pneumonia,0-18,12
2022-01-24,Pneumonia,66+,21
2022-01-24,Flu,0-18,22
2022-01-24,Diabetes,36-50,7
2022-01-24,Pneumonia,19-35,28
2022-01-24,Diabetes,19-35,9
2022-01-24,Flu,0-18,22
2022-01-24,Cardiac Issues,19-35,13
2022-01-24,Flu,66+,10
2022-01-24,Pneumonia,36-50,13
2022-01-24,Flu,66+,14
2022-01-24,Flu,19-35,16
2022-01-24,Flu,19-35,20
2022-01-25,Flu,36-50,22
2022-01-25,Pneumonia,51-65,29
2022-01-25,Cardiac Issues,19-35,5
2022-01-25,Diabetes,66+,13
2022-01-25,Diabetes,51-65,8
2022-01-25,Cardiac Issues,19-35,9
2022-01-25,Pneumonia,0-18,17
2022-01-25,Diabetes,66+,2
2022-01-25,Infections,19-35,14
2022-01-25,Pneumonia,66+,12
2022-01-25,Diabetes,36-50,11
2022-01-25,Pneumonia,51-65,24
2022-01-25,Pneumonia,0-18,27
2022-01-25,Infections,19-35,9
2022-01-25,Pneumonia,nan,10
2022-01-25,Diabetes,nan,2
2022-01-25,Flu,nan,13
2022-01-25,Infections,36-50,1
2022-01-25,Infections,51-65,13
2022-01-26,Cardiac Issues,0-18,6
2022-01-26,Diabetes,36-50,12
2022-01-26,Infections,51-65,8
2022-01-26,Diabetes,66+,13
2022-01-26,Cardiac Issues,0-18,5
2022-01-26,Cardiac Issues,51-65,4
2022-01-26,Pneumonia,66+,25
2022-01-26,Cardiac Issues,nan,11
2022-01-26,Flu,nan,16
2022-01-26,Cardiac Issues,66+,3
2022-01-26,Pneumonia,51-65,21
2022-01-26,Cardiac Issues,36-50,11
2022-01-26,Cardiac Issues,19-35,13
2022-01-26,Pneumonia,19-35,27
2022-01-27,Pneumonia,36-50,19
2022-01-27,Cardiac Issues,nan,7
2022-01-27,Infections,51-65,13
2022-01-27,Infections,51-65,3
2022-01-27,Cardiac Issues,36-50,4
2022-01-27,Pneumonia,0-18,11
2022-01-27,Pneumonia,66+,25
2022-01-27,Flu,36-50,11
2022-01-27,Diabetes,19-35,11
2022-01-27,Pneumonia,nan,14
2022-01-27,Pneumonia,66+,13
2022-01-27,Flu,19-35,29
2022-01-27,Diabetes,51-65,14
2022-01-27,Cardiac Issues,19-35,10
2022-01-27,Pneumonia,0-18,21
2022-01-27,Pneumonia,66+,28
2022-01-28,Flu,nan,20
2022-01-28,Diabetes,nan,14
2022-01-28,Infections,51-65,2
2022-01-28,Cardiac Issues,nan,5
2022-01-28,Cardiac Issues,0-18,13
2022-01-28,Flu,nan,14
2022-01-28,Pneumonia,36-50,20
2022-01-28,Diabetes,66+,8
2022-01-28,Infections,0-18,13
2022-01-28,Cardiac Issues,66+,4
2022-01-29,Cardiac Issues,36-50,8
2022-01-29,Cardiac Issues,66+,5
2022-01-29,Pneumonia,nan,17
2022-01-29,Flu,66+,11
2022-01-29,Pneumonia,51-65,14
2022-01-29,Pneumonia,51-65,18
2022-01-29,Diabetes,0-18,8
2022-01-29,Cardiac Issues,36-50,12
2022-01-30,Cardiac Issues,66+,12
2022-01-30,Pneumonia,66+,16
2022-01-30,Flu,36-50,20
2022-01-30,Cardiac Issues,51-65,5
2022-01-30,Flu,36-50,11
2022-01-30,Flu,36-50,11
2022-01-30,Infections,66+,2
2022-01-30,Cardiac Issues,nan,1
2022-01-30,Cardiac Issues,51-65,2
2022-01-30,Diabetes,19-35,1
2022-01-30,Cardiac Issues,nan,3
2022-01-30,Pneumonia,66+,21
2022-01-30,Cardiac Issues,36-50,10
2022-01-30,Infections,51-65,13
2022-01-30,Infections,19-35,5
2022-01-30,Diabetes,nan,9
2022-01-30,Flu,51-65,23
2022-01-30,Pneumonia,36-50,15
2022-01-30,Pneumonia,51-65,14
2022-01-31,Flu,66+,15
2022-01-31,Pneumonia,51-65,10
2022-01-31,Diabetes,0-18,1
2022-01-31,Flu,nan,27
2022-01-31,Diabetes,36-50,3
2022-01-31,Cardiac Issues,51-65,13
2022-01-31,Diabetes,0-18,6
2022-01-31,Infections,0-18,14
2022-01-31,Flu,51-65,22
2022-01-31,Pneumonia,nan,28
2022-02-01,Pneumonia,51-65,15
2022-02-01,Infections,51-65,2
2022-02-01,Flu,nan,25
2022-02-01,Diabetes,nan,5
2022-02-01,Diabetes,36-50,12
2022-02-01,Pneumonia,51-65,22
2022-02-01,Diabetes,51-65,13
2022-02-01,Diabetes,66+,7
2022-02-01,Pneumonia,66+,27
2022-02-01,Infections,51-65,6
2022-02-02,Infections,51-65,10
2022-02-02,Flu,36-50,23
2022-02-02,Diabetes,36-50,1
2022-02-02,Flu,0-18,22
2022-02-02,Cardiac Issues,66+,7
2022-02-02,Flu,51-65,10
2022-02-02,Infections,0-18,7
2022-02-03,Infections,66+,12
2022-02-03,Infections,51-65,2
2022-02-03,Pneumonia,66+,25
2022-02-03,Flu,36-50,10
2022-02-03,Infections,51-65,7
2022-02-04,Pneumonia,nan,14
2022-02-04,Flu,nan,26
2022-02-04,Diabetes,51-65,12
2022-02-04,Cardiac Issues,nan,5
2022-02-04,Infections,19-35,2
2022-02-05,Flu,66+,24
2022-02-05,Cardiac Issues,19-35,2
2022-02-05,Pneumonia,66+,11
2022-02-05,Pneumonia,nan,11
2022-02-05,Pneumonia,19-35,24
2022-02-05,Cardiac Issues,66+,10
2022-02-05,Cardiac Issues,0-18,9
2022-02-05,Cardiac Issues,0-18,6
2022-02-05,Diabetes,nan,1
2022-02-06,Cardiac Issues,51-65,1
2022-02-06,Pneumonia,51-65,15
2022-02-06,Pneumonia,36-50,12
2022-02-06,Infections,36-50,5
2022-02-06,Cardiac Issues,36-50,11
2022-02-06,Infections,nan,5
2022-02-06,Diabetes,0-18,1
2022-02-06,Flu,36-50,18
2022-02-07,Diabetes,19-35,12
2022-02-07,Flu,nan,14
2022-02-07,Diabetes,66+,8
2022-02-07,Infections,19-35,13
2022-02-07,Infections,19-35,8
2022-02-07,Cardiac Issues,36-50,6
2022-02-07,Pneumonia,nan,15
2022-02-07,Infections,nan,1
2022-02-07,Diabetes,0-18,1
2022-02-08,Diabetes,nan,4
2022-02-08,Cardiac Issues,19-35,5
2022-02-08,Diabetes,66+,7
2022-02-08,Cardiac Issues,0-18,14
2022-02-08,Diabetes,36-50,5
2022-02-08,Cardiac Issues,36-50,7
2022-02-08,Cardiac Issues,36-50,7
2022-02-08,Cardiac Issues,36-50,2
2022-02-08,Infections,0-18,5
2022-02-09,Diabetes,66+,11
2022-02-09,Pneumonia,0-18,23
2022-02-09,Cardiac Issues,66+,6
2022-02-09,Infections,19-35,10
2022-02-09,Infections,36-50,7
2022-02-09,Cardiac Issues,36-50,14
2022-02-09,Flu,0-18,20
2022-02-09,Infections,19-35,8
2022-02-09,Diabetes,19-35,10
2022-02-09,Diabetes,36-50,10
2022-02-09,Diabetes,nan,13
2022-02-09,Infections,66+,3
2022-02-09,Pneumonia,19-35,10
2022-02-09,Infections,36-50,4
2022-02-09,Cardiac Issues,19-35,7
2022-02-09,Infections,0-18,6
2022-02-10,Flu,19-35,13
2022-02-10,Cardiac Issues,nan,2
2022-02-10,Infections,36-50,9
2022-02-10,Cardiac Issues,19-35,2
2022-02-10,Flu,nan,27
2022-02-10,Cardiac Issues,nan,1
2022-02-10,Pneumonia,19-35,20
2022-02-10,Pneumonia,36-50,22
2022-02-10,Cardiac Issues,51-65,2
2022-02-10,Infections,nan,9
2022-02-10,Diabetes,0-18,7
2022-02-10,Diabetes,66+,14
2022-02-10,Infections,66+,12
2022-02-10,Cardiac Issues,nan,1
2022-02-10,Cardiac Issues,36-50,2
2022-02-11,Flu,51-65,19
2022-02-11,Pneumonia,66+,21
2022-02-11,Cardiac Issues,nan,3
2022-02-11,Cardiac Issues,66+,3
2022-02-11,Flu,36-50,28
2022-02-11,Flu,66+,11
2022-02-11,Diabetes,66+,11
2022-02-11,Pneumonia,51-65,13
2022-02-11,Diabetes,0-18,9
2022-02-11,Pneumonia,36-50,11
2022-02-11,Cardiac Issues,66+,8
2022-02-12,Diabetes,51-65,9
2022-02-12,Infections,nan,13
2022-02-12,Cardiac Issues,66+,7
2022-02-12,Flu,36-50,27
2022-02-12,Cardiac Issues,19-35,6
2022-02-12,Cardiac Issues,51-65,6
2022-02-12,Pneumonia,0-18,23
2022-02-12,Pneumonia,19-35,29
2022-02-12,Cardiac Issues,36-50,12
2022-02-12,Cardiac Issues,51-65,9
2022-02-12,Diabetes,66+,4
2022-02-13,Infections,51-65,2
2022-02-13,Cardiac Issues,36-50,1
2022-02-13,Flu,66+,26
2022-02-13,Cardiac Issues,0-18,1
2022-02-13,Diabetes,0-18,13
2022-02-13,Cardiac Issues,66+,13
2022-02-13,Pneumonia,nan,15
2022-02-13,Diabetes,66+,10
2022-02-14,Cardiac Issues,19-35,7
2022-02-14,Infections,66+,12
2022-02-14,Diabetes,nan,3
2022-02-14,Diabetes,19-35,3
2022-02-14,Infections,36-50,1
2022-02-14,Cardiac Issues,51-65,10
2022-02-14,Infections,66+,12
2022-02-15,Diabetes,0-18,10
2022-02-15,Flu,51-65,24
2022-02-15,Diabetes,19-35,13
2022-02-15,Flu,nan,13
2022-02-15,Diabetes,36-50,6
2022-02-15,Infections,51-65,8
2022-02-15,Flu,66+,29
2022-02-15,Flu,36-50,10
2022-02-16,Flu,nan,12
2022-02-16,Cardiac Issues,36-50,14
2022-02-16,Diabetes,nan,4
2022-02-16,Pneumonia,51-65,22
2022-02-16,Infections,36-50,6
2022-02-16,Flu,36-50,26
2022-02-16,Cardiac Issues,36-50,8
2022-02-16,Infections,0-18,10
2022-02-16,Pneumonia,36-50,23
2022-02-17,Infections,0-18,7
2022-02-17,Cardiac Issues,nan,2
2022-02-17,Flu,36-50,27
2022-02-17,Flu,19-35,28
2022-02-17,Diabetes,0-18,8
2022-02-17,Pneumonia,0-18,17
2022-02-17,Pneumonia,66+,18
2022-02-18,Cardiac Issues,0-18,2
2022-02-18,Diabetes,nan,3
2022-02-18,Diabetes,0-18,13
2022-02-18,Pneumonia,nan,23
2022-02-18,Flu,19-35,18
2022-02-18,Flu,0-18,20
2022-02-18,Diabetes,66+,7
2022-02-18,Diabetes,51-65,10
2022-02-18,Cardiac Issues,36-50,1
2022-02-18,Diabetes,66+,10
2022-02-18,Cardiac Issues,0-18,5
2022-02-18,Diabetes,66+,3
2022-02-18,Pneumonia,51-65,27
2022-02-19,Infections,66+,1
2022-02-19,Diabetes,66+,11
2022-02-19,Cardiac Issues,19-35,14
2022-02-19,Cardiac Issues,66+,3
2022-02-19,Diabetes,19-35,7
2022-02-19,Diabetes,66+,13
2022-02-19,Cardiac Issues,0-18,6
2022-02-19,Flu,66+,16
2022-02-19,Pneumonia,nan,25
2022-02-19,Infections,19-35,7
2022-02-19,Diabetes,51-65,10
2022-02-19,Pneumonia,51-65,29
2022-02-19,Diabetes,51-65,6
2022-02-19,Cardiac Issues,19-35,1
2022-02-19,Cardiac Issues,0-18,1
2022-02-19,Infections,19-35,6
2022-02-19,Cardiac Issues,19-35,4
2022-02-19,Pneumonia,0-18,15
2022-02-20,Pneumonia,19-35,13
2022-02-20,Flu,nan,27
2022-02-20,Cardiac Issues,36-50,5
2022-02-20,Cardiac Issues,nan,8
2022-02-20,Diabetes,66+,4
2022-02-20,Cardiac Issues,36-50,10
2022-02-20,Diabetes,0-18,10
2022-02-20,Diabetes,nan,5
2022-02-21,Diabetes,66+,13
2022-02-21,Cardiac Issues,0-18,7
2022-02-21,Diabetes,0-18,13
2022-02-21,Cardiac Issues,0-18,10
2022-02-21,Infections,19-35,6
2022-02-21,Flu,0-18,13
2022-02-21,Infections,66+,7
2022-02-21,Infections,51-65,8
2022-02-21,Flu,0-18,27
2022-02-21,Diabetes,36-50,4
2022-02-21,Pneumonia,19-35,24
2022-02-21,Pneumonia,0-18,28
2022-02-21,Pneumonia,66+,25
2022-02-21,Cardiac Issues,66+,3
2022-02-21,Cardiac Issues,66+,12
2022-02-21,Cardiac Issues,51-65,11
2022-02-21,Infections,36-50,2
2022-02-21,Pneumonia,nan,28
2022-02-21,Infections,66+,1
2022-02-22,Diabetes,36-50,2
2022-02-22,Infections,19-35,9
2022-02-22,Cardiac Issues,66+,10
2022-02-22,Infections,0-18,14
2022-02-22,Pneumonia,19-35,20
2022-02-22,Cardiac Issues,19-35,6
2022-02-22,Cardiac Issues,19-35,6
2022-02-22,Diabetes,66+,7
2022-02-22,Diabetes,51-65,13
2022-02-23,Pneumonia,36-50,18
2022-02-23,Pneumonia,66+,22
2022-02-23,Infections,0-18,12
2022-02-23,Infections,36-50,2
2022-02-23,Pneumonia,19-35,10
2022-02-23,Cardiac Issues,36-50,14
2022-02-24,Cardiac Issues,36-50,6
2022-02-24,Diabetes,36-50,7
2022-02-24,Cardiac Issues,0-18,1
2022-02-24,Cardiac Issues,51-65,3
2022-02-24,Cardiac Issues,36-50,5
2022-02-24,Diabetes,19-35,7
2022-02-24,Cardiac Issues,19-35,12
2022-02-24,Cardiac Issues,19-35,7
2022-02-24,Pneumonia,51-65,17
2022-02-24,Infections,36-50,2
2022-02-24,Diabetes,51-65,8
2022-02-24,Diabetes,0-18,6
2022-02-24,Cardiac Issues,0-18,12
2022-02-24,Diabetes,66+,1
2022-02-24,Pneumonia,nan,28
2022-02-25,Pneumonia,36-50,29
2022-02-25,Infections,51-65,12
2022-02-25,Flu,19-35,19
2022-02-25,Pneumonia,66+,16
2022-02-25,Infections,36-50,6
2022-02-25,Infections,0-18,9
2022-02-25,Diabetes,51-65,6
2022-02-25,Diabetes,51-65,9
2022-02-25,Diabetes,0-18,5
2022-02-25,Infections,nan,3
2022-02-25,Diabetes,66+,5
2022-02-25,Pneumonia,19-35,15
2022-02-25,Flu,36-50,23
2022-02-25,Pneumonia,36-50,23
2022-02-26,Cardiac Issues,19-35,5
2022-02-26,Diabetes,66+,10
2022-02-26,Pneumonia,51-65,25
2022-02-26,Infections,36-50,3
2022-02-26,Infections,36-50,14
2022-02-26,Infections,66+,10
2022-02-26,Flu,19-35,28
2022-02-26,Flu,66+,18
2022-02-26,Infections,nan,4
2022-02-26,Infections,51-65,12
2022-02-26,Infections,36-50,8
2022-02-26,Pneumonia,51-65,14
2022-02-26,Cardiac Issues,51-65,14
2022-02-27,Cardiac Issues,66+,14
2022-02-27,Flu,51-65,17
2022-02-27,Diabetes,nan,3
2022-02-27,Infections,19-35,12
2022-02-27,Flu,51-65,29
2022-02-27,Pneumonia,19-35,24
2022-02-27,Diabetes,51-65,3
2022-02-27,Cardiac Issues,nan,6
2022-02-27,Flu,0-18,20
2022-02-27,Flu,51-65,25
2022-02-27,Pneumonia,nan,21
2022-02-27,Cardiac Issues,66+,13
2022-02-27,Cardiac Issues,51-65,9
2022-02-27,Flu,66+,28
2022-02-27,Pneumonia,66+,20
2022-02-27,Pneumonia,0-18,12
2022-02-27,Cardiac Issues,51-65,7
2022-02-27,Flu,0-18,27
2022-02-27,Pneumonia,51-65,15
2022-02-28,Pneumonia,0-18,24
2022-02-28,Flu,nan,27
2022-02-28,Cardiac Issues,36-50,14
2022-02-28,Pneumonia,51-65,15
2022-02-28,Flu,nan,22
2022-02-28,Pneumonia,0-18,14
2022-02-28,Cardiac Issues,51-65,6
2022-02-28,Infections,51-65,6
2022-02-28,Cardiac Issues,66+,2
2022-02-28,Flu,36-50,29
2022-02-28,Diabetes,36-50,7
2022-02-28,Pneumonia,nan,15
2022-02-28,Diabetes,nan,3
2022-03-01,Cardiac Issues,0-18,12
2022-03-01,Pneumonia,66+,10
2022-03-01,Pneumonia,66+,7
2022-03-01,Diabetes,nan,26
2022-03-01,Pneumonia,nan,2
2022-03-01,Diabetes,51-65,13
2022-03-01,Diabetes,19-35,19
2022-03-01,Diabetes,36-50,26
2022-03-01,Cardiac Issues,66+,3
2022-03-01,Cardiac Issues,nan,4
2022-03-01,Diabetes,nan,25
2022-03-02,Diabetes,51-65,28
2022-03-02,Infections,51-65,13
2022-03-02,Infections,19-35,10
2022-03-02,Flu,nan,10
2022-03-02,Diabetes,66+,25
2022-03-02,Flu,19-35,3
2022-03-02,Flu,51-65,14
2022-03-02,Infections,51-65,4
2022-03-02,Cardiac Issues,36-50,8
2022-03-02,Infections,19-35,12
2022-03-02,Pneumonia,66+,12
2022-03-02,Pneumonia,51-65,8
2022-03-02,Cardiac Issues,nan,8
2022-03-02,Cardiac Issues,0-18,13
2022-03-02,Pneumonia,51-65,9
2022-03-02,Infections,66+,13
2022-03-02,Pneumonia,nan,3
2022-03-02,Flu,19-35,4
2022-03-02,Pneumonia,51-65,12
2022-03-03,Pneumonia,36-50,4
2022-03-03,Infections,36-50,8
2022-03-03,Pneumonia,36-50,2
2022-03-03,Diabetes,0-18,10
2022-03-03,Diabetes,36-50,27
2022-03-03,Flu,19-35,4
2022-03-03,Cardiac Issues,19-35,8
2022-03-03,Cardiac Issues,0-18,10
2022-03-03,Infections,0-18,3
2022-03-03,Diabetes,66+,23
2022-03-03,Pneumonia,nan,9
2022-03-03,Pneumonia,19-35,13
2022-03-03,Infections,66+,5
2022-03-03,Diabetes,36-50,14
2022-03-03,Flu,19-35,14
2022-03-03,Infections,0-18,4
2022-03-03,Flu,nan,6
2022-03-04,Diabetes,nan,13
2022-03-04,Pneumonia,66+,14
2022-03-04,Flu,36-50,3
2022-03-04,Pneumonia,36-50,10
2022-03-04,Infections,19-35,12
2022-03-05,Diabetes,nan,25
2022-03-05,Diabetes,51-65,23
2022-03-05,Diabetes,51-65,25
2022-03-05,Diabetes,19-35,23
2022-03-05,Cardiac Issues,0-18,6
2022-03-05,Infections,51-65,13
2022-03-05,Flu,0-18,6
2022-03-05,Diabetes,51-65,19
2022-03-05,Flu,51-65,1
2022-03-05,Pneumonia,36-50,1
2022-03-05,Pneumonia,19-35,7
2022-03-05,Pneumonia,66+,6
2022-03-05,Diabetes,0-18,14
2022-03-05,Flu,nan,13
2022-03-05,Diabetes,19-35,25
2022-03-05,Flu,19-35,12
2022-03-06,Cardiac Issues,36-50,3
2022-03-06,Diabetes,36-50,23
2022-03-06,Flu,nan,11
2022-03-06,Flu,nan,4
2022-03-06,Pneumonia,nan,13
2022-03-06,Cardiac Issues,66+,2
2022-03-06,Diabetes,nan,11
2022-03-06,Infections,nan,11
2022-03-06,Flu,51-65,8
2022-03-06,Pneumonia,nan,5
2022-03-06,Cardiac Issues,66+,3
2022-03-06,Flu,0-18,8
2022-03-06,Pneumonia,19-35,11
2022-03-07,Cardiac Issues,36-50,8
2022-03-07,Flu,19-35,7
2022-03-07,Pneumonia,51-65,2
2022-03-07,Pneumonia,66+,5
2022-03-07,Diabetes,36-50,21
2022-03-07,Diabetes,0-18,23
2022-03-07,Pneumonia,0-18,7
